stage,estimate_type,term,estimate,se_hc1,p_value,ci_low,ci_high,fit_statistic,n
stage1_any_use_logit,log_odds,const,-0.4471054158745154,0.10490139636484119,2.0247006890559827e-05,-0.652708374677565,-0.24150245707146573,0.2688980118767176,732
stage1_any_use_logit,log_odds,log_wage,-0.04550591198626293,0.13712338821070075,0.739994180577793,-0.3142628143173406,0.22325099034481477,0.2688980118767176,732
stage1_any_use_logit,log_odds,frontline_soc,0.7743281955384467,0.26972286800914363,0.004093970965562228,0.24568108843367442,1.302975302643219,0.2688980118767176,732
stage1_any_use_logit,log_odds,education_index,0.08520123428984805,0.15587981301813603,0.5846653459867945,-0.2203175851425364,0.3907200537222325,0.2688980118767176,732
stage1_any_use_logit,log_odds,computer_use_score,1.0050126863173636,0.14099622464053915,1.0188186864681872e-12,0.728665164065788,1.2813602085689393,0.2688980118767176,732
stage1_any_use_logit,log_odds,physical_presence_index,-0.623095977944134,0.13009565302100545,1.6717916121458206e-06,-0.8780787724105241,-0.3681131834777438,0.2688980118767176,732
stage1_any_use_logit,average_marginal_effect,log_wage,-0.007564777979207492,0.02276739157559651,0.739690140381119,-0.052188045489297286,0.037058489530882296,0.2688980118767176,732
stage1_any_use_logit,average_marginal_effect,frontline_soc,0.12872219513053573,0.044379642508388335,0.003725934996744366,0.04173969416733177,0.2157046960937397,0.2688980118767176,732
stage1_any_use_logit,average_marginal_effect,education_index,0.014163619468866113,0.025856816799799304,0.5838490187916576,-0.03651481021359074,0.06484204915132297,0.2688980118767176,732
stage1_any_use_logit,average_marginal_effect,computer_use_score,0.1670705520762407,0.02013649066804807,1.0685867417547987e-16,0.12760375559183956,0.20653734856064182,0.2688980118767176,732
stage1_any_use_logit,average_marginal_effect,physical_presence_index,-0.10358176612980416,0.020304202889811995,3.3698297735973605e-07,-0.14337727252862975,-0.06378625973097857,0.2688980118767176,732
stage2_positive_use_ols,log_intensity_coefficient,const,-2.7707169426588822,0.06517215687939218,0.0,-2.898452022937285,-2.6429818623804793,0.30436236715611187,333
stage2_positive_use_ols,log_intensity_coefficient,log_wage,0.04579704485008469,0.07571381433879308,0.5452651148486296,-0.10259930438610208,0.19419339408627145,0.30436236715611187,333
stage2_positive_use_ols,log_intensity_coefficient,frontline_soc,0.4492551822521226,0.15134900590194056,0.002994137471945888,0.15261658158837899,0.7458937829158662,0.30436236715611187,333
stage2_positive_use_ols,log_intensity_coefficient,education_index,-0.01599099547337258,0.08021432917416715,0.841986347020806,-0.17320819169878074,0.1412262007520356,0.30436236715611187,333
stage2_positive_use_ols,log_intensity_coefficient,computer_use_score,0.1810944298500339,0.0902963238634395,0.04490352710015828,0.004116887141327852,0.35807197255873996,0.30436236715611187,333
stage2_positive_use_ols,log_intensity_coefficient,physical_presence_index,-0.5437959055659949,0.08126254699319263,2.2038281085739967e-11,-0.7030675709646461,-0.38452424016734366,0.30436236715611187,333
