group,usage_baseline,usage_strict,employment,index_baseline,index_strict
Sales,2.269662509459105,2.361885039305708,8.811537038865062,0.257578501849144,0.268044613429886
Office/Admin,7.866836690607923,4.123216937560451,12.204792673377373,0.6445694655484034,0.3378358852874682
Food Service,0.5348160677861356,0.5565470919222324,8.724091127871816,0.0613033564123946,0.0637942776805907
Personal Care,0.4583576629912496,0.4769819752312679,2.0023394859808317,0.2289110643826346,0.23821234040022024
