,usage_pct,employment_pct,representation_index,group_name
15,37.31196338375578,3.409462004491555,10.943651325224264,Computer and Mathematical Occupations
27,10.26912311112392,1.3871822957162698,7.40286488865652,"Arts, Design, Entertainment, Sports, and Media Occupations"
19,6.376814250589799,0.91497832751974,6.969360976970489,"Life, Physical, and Social Science Occupations"
17,4.419269612759122,1.6724367972972962,2.6424135249241005,Architecture and Engineering Occupations
25,9.333424105868712,5.758536150576867,1.6207980399556452,Educational Instruction and Library Occupations
21,2.077730965915786,1.5924059097077998,1.3047747143170558,Community and Social Service Occupations
23,0.8973388809317449,0.8169893859142345,1.0983482728207012,Legal Occupations
13,5.926966512789758,6.643116833308232,0.8921966392450401,Business and Financial Operations Occupations
11,4.4900983747352035,6.911756677653326,0.6496320087847303,Management Occupations
43,7.866836690607923,12.204792673377373,0.6445694655484034,Office and Administrative Support Occupations
51,2.9318656112613803,5.775401048389481,0.5076471030663672,Production Occupations
29,2.582696834569665,6.113910695855167,0.42242959752758,Healthcare Practitioners and Technical Occupations
45,0.07423273205256767,0.2846157295826573,0.26081739108874236,"Farming, Fishing, and Forestry Occupations"
41,2.269662509459105,8.811537038865062,0.257578501849144,Sales and Related Occupations
39,0.4583576629912496,2.0023394859808317,0.2289110643826346,Personal Care and Service Occupations
49,0.7224271877708426,3.944226116858266,0.1831606927105601,"Installation, Maintenance, and Repair Occupations"
33,0.3792808196759929,2.3076988423146543,0.16435455646178204,Protective Service Occupations
47,0.42209228948408717,4.0997506352653375,0.1029556007268645,Construction and Extraction Occupations
35,0.5348160677861356,8.724091127871816,0.0613033564123946,Food Preparation and Serving Related Occupations
31,0.27244852804478503,4.651531106846338,0.058571795347940964,Healthcare Support Occupations
37,0.09871513221805274,2.916665870945535,0.03384519742264853,Building and Grounds Cleaning and Maintenance Occupations
53,0.283838735608405,9.056575245662161,0.031340625778420554,Transportation and Material Moving Occupations
