definition,threshold,usage_share_pct,employment_share_pct,representation_index,usage_minus_employment_pp,usage_coverage_pct,employment_coverage_pct,n_inside,n_outside
A_current_soc_groups,,11.12967293084441,31.742760326095087,0.35062082870262956,-20.613087395250677,100.0,100.0,127,732
B_high_physical_presence,3.2534375,2.1029014112828466,20.168314348663255,0.10426758403942796,-18.065412937380408,98.96493125289665,90.57347309945908,194,580
C_high_customer_facing,4.422499999999999,13.394112334657986,38.45188728960601,0.34833432839793455,-25.057774954948027,98.96493125289665,90.57347309945908,194,580
